	Strategy	Query	Class	Value
707	LAL_indep	q2	thriller	4
708	LAL_indep	q2	unknown	25
709	LAL_indep	q2	crime drama	1
710	LAL_indep	q2	romance	5
711	LAL_indep	q2	drama	19
712	LAL_indep	q2	western	8
713	LAL_indep	q2	comedy	8
714	LAL_indep	q3	musical	1
715	LAL_indep	q3	crime	5
716	LAL_indep	q3	action	5
717	LAL_indep	q3	mystery	2
718	LAL_indep	q3	film noir	1
719	LAL_indep	q3	adventure	2
720	LAL_indep	q3	horror	4
721	LAL_indep	q3	thriller	5
722	LAL_indep	q3	unknown	39
723	LAL_indep	q3	crime drama	3
724	LAL_indep	q3	romance	2
725	LAL_indep	q3	drama	18
726	LAL_indep	q3	western	3
727	LAL_indep	q3	comedy	10
728	LAL_indep	q4	musical	5
729	LAL_indep	q4	crime	5
730	LAL_indep	q4	action	0
731	LAL_indep	q4	mystery	4
732	LAL_indep	q4	film noir	2
733	LAL_indep	q4	adventure	0
734	LAL_indep	q4	horror	1
735	LAL_indep	q4	thriller	0
736	LAL_indep	q4	unknown	19
737	LAL_indep	q4	crime drama	0
738	LAL_indep	q4	romance	0
739	LAL_indep	q4	drama	29
740	LAL_indep	q4	western	10
741	LAL_indep	q4	comedy	25
742	LAL_indep	q5	musical	3
743	LAL_indep	q5	crime	1
744	LAL_indep	q5	action	0
745	LAL_indep	q5	mystery	5
746	LAL_indep	q5	film noir	0
747	LAL_indep	q5	adventure	1
748	LAL_indep	q5	horror	2
749	LAL_indep	q5	thriller	2
750	LAL_indep	q5	unknown	13
751	LAL_indep	q5	crime drama	1
752	LAL_indep	q5	romance	2
753	LAL_indep	q5	drama	32
754	LAL_indep	q5	western	4
755	LAL_indep	q5	comedy	34
756	LAL_indep	q6	musical	1
757	LAL_indep	q6	crime	2
758	LAL_indep	q6	action	0
759	LAL_indep	q6	mystery	0
760	LAL_indep	q6	film noir	0
761	LAL_indep	q6	adventure	2
762	LAL_indep	q6	horror	1
763	LAL_indep	q6	thriller	0
764	LAL_indep	q6	unknown	11
765	LAL_indep	q6	crime drama	0
766	LAL_indep	q6	romance	7
767	LAL_indep	q6	drama	40
768	LAL_indep	q6	western	2
769	LAL_indep	q6	comedy	34
770	LAL_indep	q7	musical	0
771	LAL_indep	q7	crime	5
772	LAL_indep	q7	action	0
773	LAL_indep	q7	mystery	0
774	LAL_indep	q7	film noir	1
775	LAL_indep	q7	adventure	1
776	LAL_indep	q7	horror	3
777	LAL_indep	q7	thriller	3
778	LAL_indep	q7	unknown	63
779	LAL_indep	q7	crime drama	3
780	LAL_indep	q7	romance	6
781	LAL_indep	q7	drama	11
782	LAL_indep	q7	western	0
783	LAL_indep	q7	comedy	4
